,CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,New Georeferenced Column
209319,928075048,1,MANHATTAN,07/28/2021,15:50:00,07/28/2021,15:56:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,344,MISDEMEANOR,,ASSAULT 3 & RELATED OFFENSES,,PATROL BORO MAN SOUTH,113.0,"MENACING,UNCLASSIFIED",TRANSIT - NYC SUBWAY,07/28/2021,FULTON STREET,UNKNOWN,BLACK,F,2.0,45-64,BLACK,F,982466,197787,40.70956441600004,-74.00643628099994,"(40.709564416000035, -74.00643628099994)",POINT (-74.00643628099994 40.709564416000035)
209335,397117440,7,MANHATTAN,07/31/2021,04:28:00,07/31/2021,04:41:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,359,MISDEMEANOR,,OFFENSES AGAINST PUBLIC ADMINI,,PATROL BORO MAN SOUTH,759.0,"PUBLIC ADMINISTATION,UNCLASS M",TRANSIT - NYC SUBWAY,07/31/2021,DELANCEY STREET,25-44,WHITE HISPANIC,M,4.0,UNKNOWN,UNKNOWN,E,987521,201066,40.718564066000056,-73.98820145399996,"(40.718564066000056, -73.98820145399996)",POINT (-73.98820145399996 40.718564066000056)
209407,981816353,24,MANHATTAN,07/27/2021,06:30:00,07/27/2021,06:40:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,233,MISDEMEANOR,,SEX CRIMES,,PATROL BORO MAN NORTH,175.0,"SEXUAL ABUSE 3,2",TRANSIT - NYC SUBWAY,07/27/2021,110 ST.-CATHEDRAL PKWY.,UNKNOWN,BLACK HISPANIC,M,3.0,25-44,WHITE,F,993336,229488,40.79657114300005,-73.96718568699998,"(40.796571143000044, -73.96718568699998)",POINT (-73.96718568699998 40.796571143000044)
209414,516245280,108,QUEENS,07/29/2021,16:30:00,07/29/2021,16:45:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,578,VIOLATION,,HARRASSMENT 2,,PATROL BORO QUEENS NORTH,637.0,"HARASSMENT,SUBD 1,CIVILIAN",TRANSIT - NYC SUBWAY,07/29/2021,33 STREET,25-44,WHITE,M,20.0,45-64,WHITE,M,1003180,210587,40.74467722700007,-73.93168550999997,"(40.74467722700007, -73.93168550999997)",POINT (-73.93168550999997 40.74467722700007)
209562,244448820,33,MANHATTAN,07/25/2021,15:50:00,07/25/2021,15:55:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,361,MISDEMEANOR,,OFF. AGNST PUB ORD SENSBLTY &,,PATROL BORO MAN NORTH,639.0,AGGRAVATED HARASSMENT 2,TRANSIT - NYC SUBWAY,07/25/2021,168 ST.-WASHINGTON HTS.,25-44,BLACK,M,3.0,45-64,WHITE,M,1000916,245710,40.84108492100006,-73.93976883999993,"(40.84108492100006, -73.93976883999993)",POINT (-73.93976883999993 40.84108492100006)
209599,186500733,90,BROOKLYN,07/27/2021,11:45:00,07/27/2021,13:35:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,578,VIOLATION,,HARRASSMENT 2,,PATROL BORO BKLYN NORTH,638.0,"HARASSMENT,SUBD 3,4,5",TRANSIT - NYC SUBWAY,07/27/2021,LORIMER STREET,UNKNOWN,BLACK,M,33.0,25-44,BLACK,F,998708,195808,40.704120897000045,-73.94785612699997,"(40.704120897000045, -73.94785612699997)",POINT (-73.94785612699997 40.704120897000045)
209712,981542001,18,MANHATTAN,07/24/2021,16:10:00,07/24/2021,16:17:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,359,MISDEMEANOR,,OFFENSES AGAINST PUBLIC ADMINI,,PATROL BORO MAN SOUTH,759.0,"PUBLIC ADMINISTATION,UNCLASS M",TRANSIT - NYC SUBWAY,07/24/2021,59 ST.-COLUMBUS CIRCLE,18-24,BLACK,F,1.0,UNKNOWN,UNKNOWN,E,988451,217993,40.76502407900006,-73.98483594999993,"(40.76502407900006, -73.98483594999993)",POINT (-73.98483594999993 40.76502407900006)
209718,388725907,13,MANHATTAN,07/26/2021,12:00:00,07/26/2021,12:00:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,351,MISDEMEANOR,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO MAN SOUTH,258.0,"CRIMINAL MISCHIEF 4TH, GRAFFIT",TRANSIT - NYC SUBWAY,07/27/2021,UNION SQUARE,,,,4.0,UNKNOWN,UNKNOWN,E,986546,207135,40.73522230400005,-73.99171665499993,"(40.73522230400005, -73.99171665499993)",POINT (-73.99171665499993 40.73522230400005)
209875,222918629,23,MANHATTAN,07/28/2021,15:30:00,07/28/2021,15:40:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,233,MISDEMEANOR,,SEX CRIMES,,PATROL BORO MAN NORTH,175.0,"SEXUAL ABUSE 3,2",TRANSIT - NYC SUBWAY,07/29/2021,110 STREET,18-24,WHITE HISPANIC,M,4.0,UNKNOWN,UNKNOWN,E,998730,226827,40.78926022400003,-73.94771000099996,"(40.78926022400003, -73.94771000099996)",POINT (-73.94771000099996 40.78926022400003)
209935,996392467,40,BRONX,07/28/2021,07:30:00,07/28/2021,07:40:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,106,FELONY,,FELONY ASSAULT,,PATROL BORO BRONX,109.0,"ASSAULT 2,1,UNCLASSIFIED",TRANSIT - NYC SUBWAY,07/28/2021,3 AVENUE-138 STREET,<18,WHITE HISPANIC,M,12.0,25-44,WHITE HISPANIC,M,1004376,234784,40.81108895900008,-73.92729682699996,"(40.811088959000074, -73.92729682699996)",POINT (-73.92729682699996 40.811088959000074)
209988,331738950,77,BROOKLYN,07/24/2021,11:00:00,07/24/2021,11:05:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,578,VIOLATION,,HARRASSMENT 2,,PATROL BORO BKLYN NORTH,637.0,"HARASSMENT,SUBD 1,CIVILIAN",TRANSIT - NYC SUBWAY,07/24/2021,FRANKLIN AVENUE,25-44,BLACK,M,32.0,18-24,WHITE HISPANIC,F,995908,183618,40.67066627200006,-73.95797590799998,"(40.67066627200006, -73.95797590799998)",POINT (-73.95797590799998 40.67066627200006)
210009,851945899,52,BRONX,07/28/2021,23:50:00,07/29/2021,00:13:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,351,MISDEMEANOR,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BRONX,259.0,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",TRANSIT - NYC SUBWAY,07/29/2021,EAST 180 STREET,UNKNOWN,UNKNOWN,U,12.0,UNKNOWN,UNKNOWN,D,1019444,245654,40.84087681400008,-73.87280713299998,"(40.840876814000076, -73.87280713299998)",POINT (-73.87280713299998 40.840876814000076)
210010,763632970,13,MANHATTAN,07/30/2021,18:40:00,07/30/2021,18:42:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,578,VIOLATION,,HARRASSMENT 2,,PATROL BORO MAN SOUTH,637.0,"HARASSMENT,SUBD 1,CIVILIAN",TRANSIT - NYC SUBWAY,07/30/2021,UNION SQUARE,45-64,WHITE HISPANIC,F,4.0,25-44,WHITE HISPANIC,F,986546,207135,40.73522230400005,-73.99171665499993,"(40.73522230400005, -73.99171665499993)",POINT (-73.99171665499993 40.73522230400005)
210136,516630783,107,QUEENS,07/21/2021,11:48:00,07/21/2021,11:48:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,351,MISDEMEANOR,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO QUEENS SOUTH,258.0,"CRIMINAL MISCHIEF 4TH, GRAFFIT",TRANSIT - NYC SUBWAY,07/30/2021,SUTPHIN BLVD.,,,,20.0,UNKNOWN,UNKNOWN,E,1037346,196581,40.70609511200007,-73.80849557099998,"(40.70609511200007, -73.80849557099998)",POINT (-73.80849557099998 40.70609511200007)
210196,371718478,5,MANHATTAN,07/24/2021,16:26:00,07/24/2021,16:36:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,361,MISDEMEANOR,,OFF. AGNST PUB ORD SENSBLTY &,,PATROL BORO MAN SOUTH,661.0,"LEWDNESS,PUBLIC",TRANSIT - NYC SUBWAY,07/25/2021,BROOKLYN BRIDGE-CITY HALL,45-64,WHITE HISPANIC,M,2.0,18-24,WHITE,F,983125,199091,40.71314369600003,-74.00405950599996,"(40.71314369600003, -74.00405950599996)",POINT (-74.00405950599996 40.71314369600003)
210204,523259027,14,MANHATTAN,07/31/2021,05:00:00,07/31/2021,07:30:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,109,FELONY,,GRAND LARCENY,,PATROL BORO MAN SOUTH,408.0,"LARCENY,GRAND FROM PERSON,LUSH WORKER(SLEEPING/UNCON VICTIM)",TRANSIT - NYC SUBWAY,07/31/2021,34 STREET,UNKNOWN,UNKNOWN,U,2.0,25-44,WHITE HISPANIC,M,987526,211899,40.74829799100007,-73.98817814399997,"(40.74829799100007, -73.98817814399997)",POINT (-73.98817814399997 40.74829799100007)
210232,578335173,34,MANHATTAN,07/28/2021,19:15:00,07/28/2021,19:20:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,361,MISDEMEANOR,,OFF. AGNST PUB ORD SENSBLTY &,,PATROL BORO MAN NORTH,661.0,"LEWDNESS,PUBLIC",TRANSIT - NYC SUBWAY,07/28/2021,181 STREET,25-44,BLACK,M,3.0,18-24,WHITE HISPANIC,M,1002443,248462,40.84863533800007,-73.93424264399994,"(40.84863533800007, -73.93424264399994)",POINT (-73.93424264399994 40.84863533800007)
210260,623944116,115,QUEENS,07/29/2021,07:55:00,,,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,578,VIOLATION,,HARRASSMENT 2,,PATROL BORO QUEENS NORTH,637.0,"HARASSMENT,SUBD 1,CIVILIAN",TRANSIT - NYC SUBWAY,07/29/2021,JUNCTION BLVD.,25-44,WHITE HISPANIC,M,20.0,45-64,BLACK,F,1020429,212242,40.74916603900005,-73.86942725099993,"(40.74916603900005, -73.86942725099993)",POINT (-73.86942725099993 40.74916603900005)
210425,637104130,84,BROOKLYN,08/01/2021,20:55:00,08/01/2021,21:03:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,351,MISDEMEANOR,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BKLYN NORTH,259.0,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",TRANSIT - NYC SUBWAY,08/01/2021,BERGEN STREET,UNKNOWN,UNKNOWN,U,30.0,UNKNOWN,UNKNOWN,D,986894,189470,40.68673597000002,-73.99046788099997,"(40.68673597000002, -73.99046788099997)",POINT (-73.99046788099997 40.68673597000002)
210447,257698708,44,BRONX,07/28/2021,02:00:00,07/28/2021,02:07:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,344,MISDEMEANOR,,ASSAULT 3 & RELATED OFFENSES,,PATROL BORO BRONX,101.0,ASSAULT 3,TRANSIT - NYC SUBWAY,07/28/2021,161 ST.-YANKEE STADIUM,65+,BLACK,M,11.0,25-44,WHITE HISPANIC,M,1004749,240880,40.827819901000055,-73.92593075599996,"(40.827819901000055, -73.92593075599996)",POINT (-73.92593075599996 40.827819901000055)
210451,587491993,26,MANHATTAN,08/01/2021,07:30:00,08/01/2021,08:15:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,109,FELONY,,GRAND LARCENY,,PATROL BORO MAN NORTH,408.0,"LARCENY,GRAND FROM PERSON,LUSH WORKER(SLEEPING/UNCON VICTIM)",TRANSIT - NYC SUBWAY,08/01/2021,125 STREET,,,,3.0,25-44,BLACK,F,997374,234664,40.81077276700007,-73.95259158999993,"(40.81077276700007, -73.95259158999993)",POINT (-73.95259158999993 40.81077276700007)
210453,708086051,14,MANHATTAN,07/26/2021,13:45:00,07/26/2021,13:50:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,578,VIOLATION,,HARRASSMENT 2,,PATROL BORO MAN SOUTH,637.0,"HARASSMENT,SUBD 1,CIVILIAN",TRANSIT - NYC SUBWAY,07/26/2021,34 ST.-PENN STATION,25-44,WHITE HISPANIC,M,2.0,25-44,BLACK,M,986848,212883,40.75099904800004,-73.99062471199994,"(40.75099904800004, -73.99062471199994)",POINT (-73.99062471199994 40.75099904800004)
210471,826893297,103,QUEENS,07/26/2021,19:00:00,07/26/2021,19:45:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,341,MISDEMEANOR,,PETIT LARCENY,,PATROL BORO QUEENS SOUTH,339.0,"LARCENY,PETIT FROM OPEN AREAS,",TRANSIT - NYC SUBWAY,07/28/2021,SUTPHIN BLVD.-ARCHER AVE.,,,,20.0,45-64,BLACK,M,1037559,194576,40.70059059000005,-73.80774319999993,"(40.70059059000005, -73.80774319999993)",POINT (-73.80774319999993 40.70059059000005)
210493,918484417,25,MANHATTAN,07/31/2021,12:14:00,07/31/2021,12:15:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,344,MISDEMEANOR,,ASSAULT 3 & RELATED OFFENSES,,PATROL BORO MAN NORTH,101.0,ASSAULT 3,TRANSIT - NYC SUBWAY,07/31/2021,125 STREET,18-24,BLACK,M,4.0,25-44,BLACK,M,1001575,232339,40.804384046000045,-73.93742166899995,"(40.804384046000045, -73.93742166899995)",POINT (-73.93742166899995 40.804384046000045)
210521,193931759,14,MANHATTAN,07/27/2021,18:40:00,07/27/2021,18:43:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,343,MISDEMEANOR,,THEFT OF SERVICES,,PATROL BORO MAN SOUTH,475.0,UNAUTH. SALE OF TRANS. SERVICE,TRANSIT - NYC SUBWAY,07/27/2021,34 ST.-PENN STATION,,,,2.0,UNKNOWN,UNKNOWN,E,986061,213320,40.75219869800003,-73.99346504499994,"(40.75219869800003, -73.99346504499994)",POINT (-73.99346504499994 40.75219869800003)
210530,526602861,79,BROOKLYN,08/01/2021,13:00:00,08/01/2021,13:15:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,578,VIOLATION,,HARRASSMENT 2,,PATROL BORO BKLYN NORTH,638.0,"HARASSMENT,SUBD 3,4,5",TRANSIT - NYC SUBWAY,08/01/2021,BEDFORD-NOSTRAND AVENUES,UNKNOWN,BLACK,M,30.0,18-24,WHITE HISPANIC,M,995342,190257,40.688889551000045,-73.96000533499993,"(40.688889551000045, -73.96000533499993)",POINT (-73.96000533499993 40.688889551000045)
210656,391987531,52,BRONX,07/27/2021,00:43:00,07/27/2021,01:00:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,121,FELONY,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BRONX,269.0,"MISCHIEF,CRIMINAL,    UNCL 2ND",TRANSIT - NYC SUBWAY,07/27/2021,EAST 180 STREET,,,,12.0,UNKNOWN,UNKNOWN,D,1019444,245654,40.84087681400008,-73.87280713299998,"(40.840876814000076, -73.87280713299998)",POINT (-73.87280713299998 40.840876814000076)
210741,665923144,83,BROOKLYN,07/29/2021,00:42:00,07/29/2021,00:46:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,118,FELONY,,DANGEROUS WEAPONS,,PATROL BORO BKLYN NORTH,793.0,WEAPONS POSSESSION 3,TRANSIT - NYC SUBWAY,07/29/2021,BUSHWICK AVE.-ABERDEEN ST.,,,,33.0,UNKNOWN,UNKNOWN,E,1010421,187901,40.68239113100003,-73.90564187499997,"(40.68239113100003, -73.90564187499997)",POINT (-73.90564187499997 40.68239113100003)
210753,340607826,108,QUEENS,08/01/2021,21:30:00,08/01/2021,21:35:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,106,FELONY,,FELONY ASSAULT,,PATROL BORO QUEENS NORTH,109.0,"ASSAULT 2,1,UNCLASSIFIED",TRANSIT - NYC SUBWAY,08/01/2021,45 ROAD-COURT HOUSE SQUARE,UNKNOWN,WHITE HISPANIC,M,20.0,25-44,BLACK,M,996424,210017,40.743124599000055,-73.95606807299998,"(40.743124599000055, -73.95606807299998)",POINT (-73.95606807299998 40.743124599000055)
210819,531900703,115,QUEENS,07/26/2021,00:06:00,07/26/2021,00:10:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,344,MISDEMEANOR,,ASSAULT 3 & RELATED OFFENSES,,PATROL BORO QUEENS NORTH,113.0,"MENACING,UNCLASSIFIED",TRANSIT - NYC SUBWAY,07/26/2021,JUNCTION BLVD.,UNKNOWN,WHITE HISPANIC,M,20.0,45-64,WHITE HISPANIC,M,1020429,212242,40.74916603900005,-73.86942725099993,"(40.74916603900005, -73.86942725099993)",POINT (-73.86942725099993 40.74916603900005)
210822,359665530,84,BROOKLYN,07/27/2021,08:08:00,07/27/2021,08:17:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,344,MISDEMEANOR,,ASSAULT 3 & RELATED OFFENSES,,PATROL BORO BKLYN NORTH,113.0,"MENACING,UNCLASSIFIED",TRANSIT - NYC SUBWAY,07/27/2021,JAY STREET-BOROUGH HALL,25-44,BLACK,M,30.0,18-24,BLACK,M,987772,191476,40.69224167400005,-73.987300996,"(40.69224167400005, -73.987300996)",POINT (-73.987300996 40.69224167400005)
210833,723791247,40,BRONX,07/29/2021,21:40:00,07/29/2021,21:45:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,344,MISDEMEANOR,,ASSAULT 3 & RELATED OFFENSES,,PATROL BORO BRONX,101.0,ASSAULT 3,TRANSIT - NYC SUBWAY,07/29/2021,EAST 143 ST.-ST. MARY'S STREET,25-44,WHITE HISPANIC,M,12.0,25-44,BLACK,F,1009763,233742,40.80821504500005,-73.90784040999995,"(40.80821504500005, -73.90784040999995)",POINT (-73.90784040999995 40.80821504500005)
210996,354306412,14,,07/28/2021,21:30:00,07/28/2021,22:36:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,344,MISDEMEANOR,,ASSAULT 3 & RELATED OFFENSES,,PATROL BORO MAN SOUTH,101.0,ASSAULT 3,TRANSIT - NYC SUBWAY,07/29/2021,34 ST.-HERALD SQ.,,,,2.0,25-44,ASIAN / PACIFIC ISLANDER,M,985764,213806,40.75353270100004,-73.99453689199999,"(40.75353270100004, -73.99453689199999)",POINT (-73.99453689199999 40.75353270100004)
211041,175417381,75,BROOKLYN,07/27/2021,08:10:00,07/27/2021,08:15:00,ATTEMPTED,,,1.0,N.Y. TRANSIT POLICE,105,FELONY,,ROBBERY,,PATROL BORO BKLYN NORTH,382.0,"ROBBERY,NECKCHAIN/JEWELRY",TRANSIT - NYC SUBWAY,07/27/2021,GRANT AVENUE,UNKNOWN,BLACK,M,33.0,45-64,WHITE HISPANIC,F,1021568,185710,40.67633736300007,-73.86546353999995,"(40.676337363000066, -73.86546353999995)",POINT (-73.86546353999995 40.676337363000066)
211052,209277184,28,MANHATTAN,07/24/2021,22:00:00,07/24/2021,22:02:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,233,MISDEMEANOR,,SEX CRIMES,,PATROL BORO MAN NORTH,175.0,"SEXUAL ABUSE 3,2",TRANSIT - NYC SUBWAY,07/24/2021,125 STREET,UNKNOWN,BLACK,M,3.0,18-24,BLACK,F,997376,233927,40.80874990400008,-73.95258580599993,"(40.80874990400008, -73.95258580599993)",POINT (-73.95258580599993 40.80874990400008)
211144,928602563,52,BRONX,07/27/2021,21:30:00,07/27/2021,22:00:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,351,MISDEMEANOR,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BRONX,259.0,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",TRANSIT - NYC SUBWAY,07/28/2021,EAST 180 STREET,UNKNOWN,UNKNOWN,U,12.0,UNKNOWN,UNKNOWN,D,1019444,245654,40.84087681400008,-73.87280713299998,"(40.840876814000076, -73.87280713299998)",POINT (-73.87280713299998 40.840876814000076)
211163,667333535,77,BROOKLYN,07/27/2021,12:20:00,07/27/2021,12:39:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,578,VIOLATION,,HARRASSMENT 2,,PATROL BORO BKLYN NORTH,638.0,"HARASSMENT,SUBD 3,4,5",TRANSIT - NYC SUBWAY,07/27/2021,EASTERN PKWY-BROOKLYN MUSEUM,25-44,BLACK,M,32.0,45-64,BLACK,F,994632,183977,40.67165323500007,-73.96257516499998,"(40.67165323500007, -73.96257516499998)",POINT (-73.96257516499998 40.67165323500007)
211354,248684615,84,BROOKLYN,08/01/2021,22:00:00,08/01/2021,22:05:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,109,FELONY,,GRAND LARCENY,,PATROL BORO BKLYN NORTH,408.0,"LARCENY,GRAND FROM PERSON,LUSH WORKER(SLEEPING/UNCON VICTIM)",TRANSIT - NYC SUBWAY,08/01/2021,HIGH STREET,UNKNOWN,UNKNOWN,U,30.0,25-44,BLACK,M,987077,194131,40.69952928300006,-73.98980607599998,"(40.69952928300006, -73.98980607599998)",POINT (-73.98980607599998 40.69952928300006)
211452,496343196,25,MANHATTAN,07/26/2021,12:00:00,07/26/2021,12:15:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,341,MISDEMEANOR,,PETIT LARCENY,,PATROL BORO MAN NORTH,301.0,"LARCENY,PETIT BY ACQUIRING LOS",TRANSIT - NYC SUBWAY,07/29/2021,125 STREET,UNKNOWN,UNKNOWN,U,4.0,18-24,WHITE,M,1001575,232339,40.804384046000045,-73.93742166899995,"(40.804384046000045, -73.93742166899995)",POINT (-73.93742166899995 40.804384046000045)
211467,868205439,41,BRONX,07/26/2021,11:50:00,07/26/2021,11:53:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,109,FELONY,,GRAND LARCENY,,PATROL BORO BRONX,406.0,"LARCENY,GRAND FROM PERSON, BAG OPEN/DIP",TRANSIT - NYC SUBWAY,07/26/2021,WHITLOCK AVENUE,45-64,WHITE HISPANIC,M,12.0,25-44,WHITE HISPANIC,M,1015773,240835,40.82766392500002,-73.88609709199994,"(40.82766392500002, -73.88609709199994)",POINT (-73.88609709199994 40.82766392500002)
211520,742061868,79,BROOKLYN,07/28/2021,12:03:00,07/28/2021,12:08:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,113,FELONY,,FORGERY,,PATROL BORO BKLYN NORTH,729.0,"FORGERY,ETC.,UNCLASSIFIED-FELO",TRANSIT - NYC SUBWAY,07/28/2021,NOSTRAND AVENUE,45-64,BLACK,M,30.0,UNKNOWN,UNKNOWN,E,998241,187165,40.68039860900007,-73.94955839299998,"(40.68039860900007, -73.94955839299998)",POINT (-73.94955839299998 40.68039860900007)
211559,584458745,18,MANHATTAN,07/29/2021,09:19:00,07/29/2021,09:29:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,238,MISDEMEANOR,,FRAUDULENT ACCOSTING,,PATROL BORO MAN SOUTH,466.0,"ACCOSTING,FRAUDULENT",TRANSIT - NYC SUBWAY,07/29/2021,50 STREET,25-44,BLACK,M,1.0,18-24,WHITE HISPANIC,F,988099,217000,40.76229871000004,-73.98610722999997,"(40.76229871000004, -73.98610722999997)",POINT (-73.98610722999997 40.76229871000004)
211754,264226529,52,BRONX,08/01/2021,01:55:00,08/01/2021,02:04:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,578,VIOLATION,,HARRASSMENT 2,,PATROL BORO BRONX,637.0,"HARASSMENT,SUBD 1,CIVILIAN",TRANSIT - NYC SUBWAY,08/01/2021,BEDFORD PK. BLVD.,UNKNOWN,UNKNOWN,U,11.0,45-64,BLACK,M,1015266,257032,40.87212166500007,-73.88785414399997,"(40.87212166500007, -73.88785414399997)",POINT (-73.88785414399997 40.87212166500007)
211762,515275807,14,MANHATTAN,07/27/2021,19:15:00,07/27/2021,19:17:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,578,VIOLATION,,HARRASSMENT 2,,PATROL BORO MAN SOUTH,638.0,"HARASSMENT,SUBD 3,4,5",TRANSIT - NYC SUBWAY,07/27/2021,33 STREET,18-24,WHITE HISPANIC,F,4.0,25-44,BLACK,F,989284,211217,40.74642524500007,-73.98183391399994,"(40.74642524500007, -73.98183391399994)",POINT (-73.98183391399994 40.74642524500007)
211797,501429462,13,MANHATTAN,07/30/2021,00:30:00,07/30/2021,00:35:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,105,FELONY,,ROBBERY,,PATROL BORO MAN SOUTH,386.0,"ROBBERY,PERSONAL ELECTRONIC DEVICE",TRANSIT - NYC SUBWAY,07/30/2021,1 AVENUE,25-44,BLACK,M,4.0,25-44,BLACK,F,989085,205728,40.73135941000004,-73.98255604199994,"(40.73135941000004, -73.98255604199994)",POINT (-73.98255604199994 40.73135941000004)
211896,794681632,52,BRONX,08/01/2021,13:20:00,08/01/2021,13:24:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,235,MISDEMEANOR,,DANGEROUS DRUGS,,PATROL BORO BRONX,511.0,"CONTROLLED SUBSTANCE, POSSESSI",TRANSIT - NYC SUBWAY,08/01/2021,KINGSBRIDGE ROAD,25-44,BLACK HISPANIC,M,11.0,UNKNOWN,UNKNOWN,E,1013463,254828,40.86607851200006,-73.89438301399997,"(40.86607851200006, -73.89438301399997)",POINT (-73.89438301399997 40.86607851200006)
211943,705776502,70,BROOKLYN,07/28/2021,21:45:00,07/28/2021,21:47:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,578,VIOLATION,,HARRASSMENT 2,,PATROL BORO BKLYN SOUTH,638.0,"HARASSMENT,SUBD 3,4,5",TRANSIT - NYC SUBWAY,07/28/2021,FLATBUSH AVE.-BROOKLYN COLLEGE,45-64,WHITE,F,32.0,45-64,BLACK,F,998767,169858,40.632893841000055,-73.94769920999995,"(40.632893841000055, -73.94769920999995)",POINT (-73.94769920999995 40.632893841000055)
212065,324853467,45,BRONX,07/24/2021,07:20:00,07/24/2021,07:25:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,121,FELONY,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BRONX,269.0,"MISCHIEF,CRIMINAL,    UNCL 2ND",TRANSIT - NYC SUBWAY,07/24/2021,PELHAM BAY PARK,UNKNOWN,UNKNOWN,U,12.0,UNKNOWN,UNKNOWN,D,1032091,241976,40.83072232800004,-73.82712605899997,"(40.83072232800004, -73.82712605899997)",POINT (-73.82712605899997 40.83072232800004)
212068,844236919,25,MANHATTAN,07/24/2021,18:10:00,07/24/2021,18:20:00,COMPLETED,,,1.0,N.Y. TRANSIT POLICE,105,FELONY,,ROBBERY,,PATROL BORO MAN NORTH,386.0,"ROBBERY,PERSONAL ELECTRONIC DEVICE",TRANSIT - NYC SUBWAY,07/24/2021,125 STREET,18-24,BLACK,M,4.0,<18,BLACK,M,1001575,232339,40.804384046000045,-73.93742166899995,"(40.804384046000045, -73.93742166899995)",POINT (-73.93742166899995 40.804384046000045)
